U ; Терапевт ; повышение температуры, кашель, головная боль, слабость, одышка
U ; Педиатр ; кашель, насморк, лихорадка, потеря аппетита, сыпь
U ; Хирург ; боль в животе, кровотечение, припухлость, высокая температура
U ; Травматолог-ортопед ; боль в суставах, нарушение движений, отеки, деформации, боль после травмы
F ; Гинеколог ; боли внизу живота, нарушения менструации, выделения, зуд
U ; Уролог ; боль при мочеиспускании, частые позывы, кровь в моче, боль в пояснице
U ; Невролог ; головная боль, головокружение, слабость, онемение конечностей, боли в спине
U ; Офтальмолог ; ухудшение зрения, покраснение глаз, боль, ощущение песка, слезотечение
U ; Оториноларинголог (ЛОР) ; боль в горле, заложенность носа, снижение слуха, головокружение
U ; Дерматолог ; зуд, сыпь, покраснение, шелушение, новообразования на коже
U ; Кардиолог ; боль в груди, одышка, отеки ног, аритмия, головокружение, высокое давление
U ; Гастроэнтеролог ; тошнота, рвота, боль в животе, изжога, диарея, запор, вздутие
U ; Стоматолог ; зубная боль, кровоточивость десен, чувствительность зубов
U ; Стоматолог-хирург ; зубная боль, отек, воспаление десен, необходимость удаления зуба
U ; Психиатр ; тревога, депрессия, бессонница, панические атаки, перепады настроения
U ; Психотерапевт ; тревога, депрессия, нарушения сна, проблемы в отношениях, стресс
U ; Эндокринолог ; жажда, частое мочеиспускание, слабость, набор веса, похудение, потливость
U ; Пульмонолог ; кашель, одышка, хрипы, слабость, длительная лихорадка
U ; Инфекционист ; лихорадка, сыпь, слабость, кашель, диарея после путешествий
U ; Аллерголог-иммунолог ; зуд, отек, кожная сыпь, слезотечение, заложенность носа, частые простуды
U ; Проктолог ; боль в заднем проходе, кровь в стуле, запоры, зуд
F ; Маммолог ; боль в груди, уплотнения, выделения из сосков
U ; Фтизиатр ; длительный кашель, кровохарканье, слабость, ночная потливость, потеря веса
U ; Нефролог ; отеки, повышенное давление, боли в пояснице, изменение цвета мочи
F ; Акушер-гинеколог ; беременность, схватки, кровотечения, отеки, повышение давления
U ; Онколог ; необычные уплотнения, родинки, длительные боли, снижение веса
U ; Ревматолог ; боль в суставах, припухлость, утренняя скованность, слабость
U ; Гематолог ; анемия, синяки, кровотечения, увеличение лимфоузлов, слабость
U ; Диетолог ; лишний вес, недостаток веса, нарушения пищеварения, пищевая непереносимость
U ; Физиотерапевт ; боли, ограничение движений, восстановление после травм, восстановление после операций
U ; Мануальный терапевт ; боли в спине, ограничение движений, спазмы мышц, головные боли
U ; Нарколог ; проблемы с алкоголем, проблемы с курением, зависимость от препаратов, абстиненция
U ; Сосудистый хирург (флеболог) ; боли в ногах, отеки, сосудистые звездочки, варикозные узлы
M ; Андролог ; нарушения эрекции, бесплодие, боль в яичках, низкое либидо
U ; Эндоскопист ; необходимость проведения ФГДС, необходимость проведения колоноскопии, боль в животе, тошнота
U ; Генетик ; наследственные заболевания, планирование беременности, пороки развития у детей
U ; Сексолог ; нарушения половой функции, боли, снижение либидо, психологические проблемы
U ; Кардиохирург ; рекомендации после инфаркта, необходимость операции
U ; Неврореаниматолог ; последствия инсультов, последствия черепно-мозговых травм, судороги
U ; Токсиколог ; отравления лекарствами, отравления химическими веществами, тошнота, рвота, спутанность сознания
U ; Диабетолог ; жажда, частое мочеиспускание, усталость, подбор терапии при диабете
U ; Реабилитолог ; одышка, слабость, ограничение движений, боли после перенесенных заболеваний
U ; Косметолог ; акне, рубцы, пигментация, возрастные изменения кожи
U ; Детский кардиолог ; шумы в сердце у ребенка, боли в груди, одышка при нагрузке, синеватый оттенок кожи
U ; Детский эндокринолог ; отставание в росте, опережение в росте, избыток веса у детей, проблемы с половым созреванием
U ; Детский невролог ; задержка речевого развития, тики, головные боли у детей, гиперактивность
U ; Неонатолог ; вопросы здоровья новорожденных, желтуха, проблемы с кормлением
U ; Колопроктолог ; боль в области прямой кишки, кровотечения, недержание, сложные случаи геморроя
U ; Эпилептолог ; судороги, приступы потери сознания, подбор терапии при эпилепсии
U ; Сомнолог ; бессонница, храп, остановки дыхания во сне, дневная сонливость
U ; Кардиолог-геронтолог ; сердечно-сосудистые заболевания, сердечно-сосудистые заболевания у пациентов старшего возраста
U ; Трихолог ; выпадение волос, облысение, перхоть, заболевания кожи головы
U ; Подолог ; грибковые заболевания ногтей, вросший ноготь, мозоли, диабетическая стопа
U ; Врач УЗИ-диагностики ; проведение ультразвуковых исследований, проведение ультразвуковых исследований всех органов
U ; Врач функциональной диагностики ; расшифровка ЭКГ, расшифровка ЭЭГ, расшифровка холтеровского мониторирования
U ; Врач ЛФК ; составление программ восстановительной гимнастики
U ; Сурдолог ; нарушения слуха, подбор слуховых аппаратов, шум в ушах
