U ; 0, 122
U ; 0, 18
U ; 0, 122
U ; 0, 122
F ; 12, 80
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
F ; 18, 80
U ; 0, 122
U ; 0, 122
F ; 15, 45
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
M ; 18, 70
U ; 18, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 18
U ; 0, 18
U ; 0, 18
U ; 0, 1
U ; 15, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
U ; 0, 122
